"east" "north" "yield" "treatment"
317841.82 6093923.99 6.81741742720199 "control"
317969.51 6093767.57 7.20338247021129 "control"
317831.36 6093763.42 6.52449428830568 "control"
317934.97 6093802.15 5.56233633577089 "control"
317842.06 6093934.87 6.22830656018466 "control"
317915.46 6093831.5 6.61453920197818 "control"
317838.63 6093901.95 6.33244656696203 "control"
317843.86 6093864.11 6.41087712828654 "control"
317864.79 6093729.37 6.34230855280479 "control"
317968.3 6093715.16 6.47793577565792 "control"
317841.31 6093899.9 6.6929875533272 "control"
317847.17 6093902.46 6.32609544121257 "control"
317916.75 6093884.12 6.76272609826063 "control"
317935.29 6093822.13 6.8804690314272 "control"
317844.83 6093906.07 6.57727385083758 "control"
317898.21 6093776.21 7.00100334351504 "control"
317929.66 6093714.71 6.27990501501478 "control"
317831.68 6093769.76 6.34421650228705 "control"
317873.98 6093863.39 6.55046219337784 "control"
317921.02 6093960.34 6.301557843552 "control"
317939.17 6093729.88 6.26893108206218 "control"
317966.4 6093754.85 6.19164151402184 "control"
317865.56 6093772.11 6.73464688756797 "control"
317951.68 6093866.08 6.70804688914911 "control"
317839.5 6093832.61 6.67561005488113 "control"
317901.17 6093733.77 6.07479842120127 "control"
317939.28 6093733.22 6.81746267868254 "control"
317951.97 6093882.95 6.28878850222648 "control"
317948.35 6093837.38 6.40648691289968 "control"
317933.87 6093758.07 7.02097018940832 "control"
317860.5 6093716.63 7.04578676816201 "control"
