Easting	Northing
316945.61	6088838.21
317003.55	6088770.48
316844.44	6088893.53
316858.63	6088723.7
316867.95	6088766.39
316897.77	6088762.33
316948.49	6088844.04
316986.38	6088934.92
317003.6	6088772.7
316948.6	6088847.37
316992.02	6088935.15
317008.12	6088729.07
317006.31	6088782.19
317027.51	6088916.11
316863.07	6088804.8
316897.01	6088723.48
316934.3	6088768.29
316988.58	6088885.14
317027.32	6088903.02
316967.71	6088793.39
316808.78	6088889.8
316837.88	6088880.96
316844.44	6088884.87
316902.27	6088778.18
316941.18	6088809.82
316982.91	6088895.79
317010.51	6088723.23
316932.84	6088727.98
316975.74	6088751.71
316984.93	6088885.84
317018.21	6088832.14
317021.9	6088923.44
316796.67	6088792.13
316825.16	6088732.78
316869.3	6088811.69
317019.02	6088864.01
317012.42	6088772.43
317026.39	6088881.91
316932.98	6088734.64
316972.71	6088748.77
316805.2	6088909.37
316972.75	6088742.22
317006.41	6088777.3
317027.45	6088905.79
316938.28	6088782.8
316971.76	6088706.13
316988.5	6088875.59
316809.46	6088838.22
316845.73	6088941.83
316845.49	6088931.5
316844.35	6088889.31
316901.42	6088752.86
317002.43	6088727.29
317011.73	6088752.89
316862.92	6088799.02
316917.85	6088928.64
316969.39	6088751.03
316989.45	6088842.1
316868.41	6088774.94
316902.32	6088789.06
316897.46	6088737.36
317027.2	6088895.36
316992.19	6088940.03
316801.52	6088835.17
316810.33	6088947.54
316969.08	6088734.93
316791.63	6088829.53
316830.74	6088816.34
316842.74	6088963.63
316900.49	6088708.79
316920.03	6088924.25
317026.77	6088929.97
316790.04	6088773.68
316949.11	6088867.36
317020.04	6088903.42
317012.5	6088777.43
316874.16	6088872.16
316955.67	6088880.03
316808.83	6088891.91
316869.01	6088803.36
316898.28	6088781.76
316825.95	6088765.53
316847.73	6088919.67
316932.74	6088809.1
317010.84	6088819.01
317002.86	6088737.51
316992.58	6088952.25
316949.86	6088897.56
316970.88	6088816.2
316869.24	6088814.69
316955.36	6088886.57
316933.62	6088747.97
316790.38	6088792.89
316825.07	6088728.34
316826.88	6088804.95
316879.45	6088835.65
316913.62	6088890.83
316933.76	6088825.99
317004.24	6088803.56
316915.91	6088845.04
316951.77	6088879.62
317024.59	6088831.5
317005.17	6088739.99
317005.37	6088752.54
316790.09	6088780.12
316805.96	6088939.02
316824.19	6088793.8
316811.95	6088926.16
316861.57	6088753.72
316866.87	6088729.75
316882.15	6088850.79
316869.58	6088820.24
316971.87	6088709.35
317005.13	6088737.55
317025.73	6088842.62
316839.22	6088935.59
316915.19	6088947.46
316936.13	6088713.95
316986.18	6088931.7
316868	6088763.62
316869.14	6088806.14
316831.49	6088756.77
316985.6	6088915.48
316945.74	6088831.78
316951.61	6088869.41
316788.08	6088793.95
317027.53	6088910.9
316832.65	6088802.51
316901.83	6088764.08
316897.52	6088734.48
316899	6088817.84
316948.99	6088864.03
317004.79	6088722.9
316805.16	6088911.37
316862.51	6088787.7
316911.52	6088895.67
316934.73	6088791.94
316787.6	6088759.76
316990.2	6088858.98
316790.14	6088777.9
316824.89	6088723.9
316910.22	6088856.58
316955.28	6088863.6
316992.5	6088947.36
317009.46	6088770.38
317008.48	6088733.96
316829.48	6088766.16
317027.58	6088908.35
316812.86	6088957.58
316951.16	6088855.97
316986.65	6088957.79
316808.57	6088877.48
316828.59	6088734.29
316825.99	6088763.32
316847.14	6088908.34
316954.99	6088860.04
316955.24	6088856.61
317011.05	6088826.67
316796.84	6088797.12
316796.8	6088812.33
316875.84	6088839.01
316902.28	6088786.28
316899.25	6088823.62
316844.19	6088870.22
316974.88	6088816.61
317019.92	6088895.99
316830.49	6088805.91
316825.44	6088741.44
316884.55	6088942.95
316900.83	6088728
316911.82	6088912.32
316897.93	6088767.89
316973.39	6088755.44
316788.47	6088806.05
316810.89	6088888.63
316825.62	6088754.65
316831.92	6088780.64
316860.53	6088808.96
316867.28	6088741.07
316867.9	6088755.07
316901.14	6088730.78
316807.8	6088853.05
316990.15	6088861.31
316828.72	6088736.52
316866.18	6088786.33
316986.63	6088954.35
316968.46	6088823.36
316801.91	6088852.16
316801.57	6088833.06
316809.32	6088912.56
316808.48	6088873.37
316846	6088848.39
317026.73	6088927.42
317024.97	6088848.7
317018.72	6088851.79
317021.53	6088915.22
317026.44	6088879.14
316951.45	6088872.73
317003.14	6088745.83
317002.61	6088731.62
316823.08	6088745.83
316830.36	6088803.69
316839.41	6088939.81
316826.14	6088778.52
316847.39	6088913.89
316866.52	6088715.65
316914.23	6088914.14
316953.78	6088959.78
316989.38	6088908.13
317020.58	6088921.3
317005.27	6088735.11
316797.19	6088824.87
316863.36	6088821.78
316876.3	6088847.57
316975.22	6088826.5
316968.47	6088809.71
316823.81	6088781.25
316811.52	6088911.39
316830.78	6088818.57
316829.19	6088749.29
316838.63	6088897.85
316831.36	6088754.55
316862.85	6088793.47
316950.55	6088917.32
316862.95	6088802.02
316956.63	6088913.34
316987.6	6088839.51
316986.46	6088944.69
316845.11	6088914.62
316875.86	6088833.46
316984.03	6088863.07
316965.14	6088713.99
316990.36	6088940.66
316797.14	6088827.31
316806.48	6088958.23
316916.24	6088864.69
316787.93	6088779.41
316861.94	6088770.93
316941.12	6088799.73
316951.48	6088862.63
316808.64	6088887.8
317005.68	6088759.76
316837.68	6088868.2
316988.69	6088888.47
317019.33	6088871.34
317006.39	6088787.18
316844.96	6088912.62
316863.24	6088818.78
316932.64	6088724.65
316898.51	6088792.87
316987.99	6088855.94
316971.34	6088824.86
317006.24	6088772.31
317026.2	6088868.93
316968.48	6088817.81
316860.78	6088725.18
316902.96	6088811.27
316902.16	6088783.51
316901.54	6088755.75
316987.92	6088845.95
316985.12	6088898.94
316791.12	6088810.32
316829.2	6088757.83
316787.99	6088771.97
317008.02	6088711.75
317024.8	6088843.71
317012.07	6088767.65
316790.84	6088801.66
316827.24	6088813.61
316832.51	6088795.96
316949.79	6088887.68
316866.28	6088794.87
316917.69	6088923.09
316948.47	6088840.71
316976.39	6088777.8
316806.66	6088962.45
317026.91	6088932.41
316848.39	6088945.21
316955.92	6088903.34
316933.66	6088754.74
316788.93	6088828.26
316809.85	6088931.11
316790.7	6088799.44
316826.92	6088807.17
317004.03	6088782.8
316967.36	6088788.05
316832.2	6088789.3
316866.02	6088780.55
316913.98	6088904.04
316844.05	6088868.22
316831.41	6088765.42
316869.36	6088817.46
316897.65	6088745.58
316969.27	6088747.92
317008.43	6088736.29
317021.58	6088912.44
316841.78	6088926.21
316862.63	6088790.69
316976.6	6088781.14
316823.41	6088756.38
316838.68	6088899.85
316845.78	6088939.83
316845.2	6088923.17
316884.42	6088940.17
316912.06	6088931.52
316933.26	6088819.1
317004.91	6088820
317011.56	6088747.89
316796.93	6088814.88
316938.16	6088779.69
316982.58	6088876.14
316829.77	6088774.27
316884.25	6088935.06
316912.56	6088942.96
316902.67	6088803.16
316832.24	6088791.52
316982.53	6088869.7
317004.13	6088791.13
317002.72	6088735.5
316803.72	6088847.98
316833.3	6088824.28
316867.85	6088757.84
316902.55	6088800.16
316911.76	6088915.09
317011.25	6088740.45
316797.01	6088819.88
316805.68	6088934.69
317013.44	6088811.85
316803.53	6088839.21
316895.44	6088746.97
317019.08	6088856.57
316967.02	6088782.5
316809.8	6088929.11
316812.29	6088940.92
316874.22	6088860.62
317026.25	6088853.06
316843.19	6088834.69
316832.38	6088793.74
317025.14	6088853.92
316789.29	6088743.48
316791.45	6088825.31
316844.59	6088899.97
316861.44	6088742.18
316946.35	6088877.62
317004.53	6088811.89
316874.09	6088866.61
316918.34	6088837.32
316990.74	6088890.73
316811.22	6088894.85
316827.06	6088809.39
316956.93	6088943.31
317025.19	6088851.37
317022.33	6088942.64
316830.12	6088793.14
316873.53	6088840.85
316901.12	6088736.32
316916.9	6088895
316988.65	6088881.81
317004.96	6088727.89
316915.5	6088834.16
316933.15	6088815.76
316951.48	6088876.06
316917.56	6088920.32
316898.57	6088789.98
317026.73	6088887.25
316823.4	6088752.17
317025.34	6088866.13
316803.82	6088856.41
316916.52	6088873.02
316956.75	6088929.99
317028.41	6088947.98
316794.91	6088722.4
316823.87	6088787.46
316830.33	6088715.69
316954.98	6088846.73
316986.32	6088938.25
316803.49	6088841.42
316902.44	6088791.84
